username,twhandle,postdate,content,responding,reply,retweet,like
Kozmos Ekstra,@KozmosEkstra,2021-07-27T15:50:11.000Z,"Evrende Keşfedilen En Büyük Kara Delik: TON-618 

#dünya #güneş #yıldız #avköpekleri #takımyıldızı #karadelik #ton618 #kuasar #astronomi #uzay #evren",,1,1,9,"['dünya', 'güneş', 'yıldız', 'avköpekleri', 'takımyıldızı', 'karadelik', 'ton618', 'kuasar', 'astronomi', 'uzay', 'evren']"
Uzay Kampı Türkiye,@Uzay_Kampi,2021-07-27T15:12:20.000Z,"27-29 Temmuz tarihleri arasında düzenlediğimiz Yıldızlar ve Gezegenler Maceramız tüm hızıyla başladııı!!!  

#yıldızlar #star #gezegenler #uzaykampı #uzaykampi #uzaykampiturkiye #uzaykampıtürkiye #izmir #etkinlik #çocukgelişimiveeğitimi #eğitim #uzay #uzaybilimi",,,,5,"['yıldızlar', 'star', 'gezegenler', 'uzaykampı', 'uzaykampi', 'uzaykampiturkiye', 'uzaykampıtürkiye', 'izmir', 'etkinlik', 'çocukgelişimiveeğitimi', 'eğitim', 'uzay', 'uzaybilimi']"
Netyorum,@netyorumnet,2021-07-27T11:38:29.000Z,"Jeff Bezos’tan NASA’ya iki milyar dolarlık teklif
 #JeffBezos #Mi̇lyar #Uzay","Jeff Bezos’tan NASA’ya iki milyar dolarlık teklif - Netyorum
Uzay yarışında rekabet kızışıyor. Amazon ve Blue Origin kurucusu Jeff Bezos, NASA'ya tam iki milyar dolarlık teklif yaptı. Bir dönem ABD ve ...
netyorum.net",,,,"['JeffBezos', 'Mi', 'Uzay']"
Fizik Hub,@FizikHub,2021-07-27T11:23:11.000Z,"NASA'nın Perseverance Rover aracının Mars gezegeninde örnek kaya toplamak için seçtiği hedef bölge
#NASA #PerseveranceRover #Haram #Mars #gezegen #SonDakika #planet #space #SpaceX #uzay #dolar #hande",,,1,2,"['NASA', 'PerseveranceRover', 'Haram', 'Mars', 'gezegen', 'SonDakika', 'planet', 'space', 'SpaceX', 'uzay', 'dolar', 'hande']"
Flâneur,@LumeninCaelo,2021-07-26T14:59:21.000Z,#lider #çay #uzay #uzaylı #karikatür,,,1,6,"['lider', 'çay', 'uzay', 'uzaylı', 'karikatür']"
nadirakkusdesign,@nadirakkus088,2021-07-26T14:46:55.000Z,"ÇOK OKUYAN BİRİ OLDUĞUM İÇİN BANA UZAYLILARI SORAN ARKADAŞLAR VAR, ""GEÇMİŞTE GELMİŞLER Mİ"" DİYE.. BEKLEYİN GELECEKTE GELECEKLER, GİDİN SÜMERCE VEYA QU DİLİ ÖĞRENİN HADİ 
.
.
#alien #aliens #nasa #uzay #uzaylı #ufo https://instagram.com/p/CRy1SktsHLE/?utm_medium=twitter…",,,,,"['alien', 'aliens', 'nasa', 'uzay', 'uzaylı', 'ufo']"
Emre Kulaç,@emrekulac,2021-07-26T13:49:00.000Z,"Astronot Thomas Pesquet'in uzaydan çektiği gün doğumu fotoğrafı

#pazartesi #uzay",,,,10,"['pazartesi', 'uzay']"
Uzay Kampı Türkiye,@Uzay_Kampi,2021-07-26T13:00:01.000Z,"Mars Helikopteri, Europa'nın Yüzeyi, Karadelikler  ve çok daha fazlası Astro Bültenimizde!
Okumak için
http://gftse.org/uploads/files/ASTRO_14072021_TR.pdf…

#uzay #uzayhaberleri #ilginçbilgiler  #perseverance #NASA #marshelikopteri #karadelik #europa #virgingalactic #blueorigin #jeffbezos #yenibilgiler",,,,1,"['uzay', 'uzayhaberleri', 'ilginçbilgiler', 'perseverance', 'NASA', 'marshelikopteri', 'karadelik', 'europa', 'virgingalactic', 'blueorigin', 'jeffbezos', 'yenibilgiler']"
iTOHABER,@itohaber,2021-07-26T11:04:25.000Z,"Türk Havacılık ve Uzay Sanayii (TUSAŞ), yılsonunda özgün hava platformlarına yönelik 100’e yakın komponentin yerlileştirme aşamalarını tamamlamayı hedefliyor.

http://bit.ly/3kXgUk4
@TUSAS_TR
 #havacılık #uzay #yerli #yerlileşme",,,,1,"['havacılık', 'uzay', 'yerli', 'yerlileşme']"
Sözlük,@_terimlersozluk,2021-07-26T10:59:04.000Z,"Tarihte Bugün: 21 Şubat 1848.

Alman filozoflar... - #tarih #alman #komünist #tarihtebugün #engels #marx - #uzay #pazartesi","Tarihte Bugün: 21 Şubat 1848 Alman filozoflar Karl tarih - alman - komünist - tarihte bugün -...
Tarihte Bugün: 21 Şubat 1848 Alman filozoflar Karl nedir ve Tarihte Bugün: 21 Şubat 1848 Alman filozoflar Karl hakkında kısa ilginç bilgi Tarihte Bugün: 21 Şubat 1848 Alman filozoflar Karl ile ilgili...
turkcebilgi.org",,,,"['tarih', 'alman', 'komünist', 'tarihtebugün', 'engels', 'marx', 'uzay', 'pazartesi']"
