username,twhandle,postdate,content,responding,reply,retweet,like
Ulak News,@ulaknews,2021-08-02T07:22:08.000Z,Tarım işçileri taşıyan minibüse tır çarptı... https://ulak.news/haber_tarim-iscileri-tasiyan-minibuse-_gazetemanifesto_454632.html… --- #sondakika #haber #sondakikahaber #haberler,"Tarım işçileri taşıyan minibüse tır çarptı
Gaziantep’te tırın tarım işçilerini taşıyan minibüse çarpması sonucu 3 kişi hayatını kaybetti, 16 kişi yaralandı. | Ulak News
ulak.news",,,
Avcılar Haber Merkezi (AHM),@AvcilarHaberMer,2021-08-02T07:21:43.000Z,"#Istanbul 'da Pavyonda Korkunç Cinayet!
https://avcilarhabermerkezi.com/istanbul-da-pavyonda-korkunc-cinayet/75587/… #SONDAKIKA #cinayet #Sariyer #haber","İstanbul'da Pavyonda Korkunç Cinayet!
Sarıyer'de arkadaşlarıyla birlikte bir pavyona giden 19 yaşındaki genç iddiaya göre çıkan hesap kavgasında silahla göğsünden vurularak öldürüldü. Polis ekipleri olayla ilgili çok sayıda şahsı...
avcilarhabermerkezi.com",,,
Medyaeli,@medyaelicom,2021-08-02T07:21:04.000Z,"AB’den Türkiye’ye destek!
https://medyaeli.com/dunya/abden-turkiyeye-destek-h2515.html…
#AB #türkiye #yangın #orman #destek #uçak #alev #avrupakomisyonu #canadair #hırvatistan #ispanya #dünya #haber",,,,
Ulak News,@ulaknews,2021-08-02T07:18:08.000Z,Tunca Bengin: Bir ayda dördüncü dalganın zamanını ve olası kapanmayı konuşmaya başladık... https://ulak.news/haber_tunca-bengin-bir-ayda-dorduncu-d_diken_986504.html… --- #sondakika #haber #sondakikahaber #haberler,"Tunca Bengin: Bir ayda dördüncü dalganın zamanını ve olası kapanmayı konuşmaya başladık
Çünkü vaka sayılarındaki artış ve endişe verici tırmanış ivmesi ortada… Virüs yalan, yanlış bahanelere takılmıyor, doğrudan hasta yapıyor, öldürüyor. Daha Temmuz başında açılma, normale dönme sevinci...
ulak.news",,,
olay.com.tr,@OlayHaber_Bursa,2021-08-02T07:17:50.000Z,"Kavga çıkaracak paylaşım! ""Portakal görünümlü bacaklarda...""

https://olay.com.tr/galeri/kavga-cikaracak-paylasim-portakal-gorunumlu-bacaklarda-826583… #haber #sondakika",,,,
Çevre TV,@cevretvcomtr,2021-08-02T07:17:28.000Z,"Dünyadan ve Türkiye'den çevre haberleri ile 
@cevretvcomtr
 canlı yayın başladı 

#yangın #haber #sondakika #çevretv","Türkiye ve Dünyadan Çevre Haberleri | Çevre Günlüğü 02 Ağustos 2021
Çevre GünlüğüTÜRKİYE YANIYORBodrum'daki orman yangınını söndürmek için herkes seferber olduMarmaris'teki orman yangını, yerleşim yerine kadar ulaştıManavgat’...
youtube.com",,,
SON_Ajans,@SONAjans1,2021-08-02T07:16:39.000Z,"Rektör Can, Uluslararası öğrencilerle bir araya geldi https://sonhaberajansi.com/rektor-can-uluslararasi-ogrencilerle-bir-araya-geldi-5810h.htm… 
@SONAjans1
 aracılığıyla #haber #sonhaberajansi #Kahramanmaraş #rektör #üniversite #yabancı #öğrenci #student #corona #covid19","Rektör Can, Uluslararası öğrencilerle bir araya geldi
Kahramanmaraş Sütçü İmam Üniversitesi (KSÜ) Rektörü Prof. Dr. Niyazi Can, KSÜ’den eğitim gören yabancı uyruklu öğrencilerle bir araya gelerek memnuniyet ve beklentilerini dinledi.
sonhaberajansi.com",,,
Findy News Haber,@FindyNews,2021-08-02T07:16:29.000Z,Kars’ta Doğu Ekspresi treninin hemzemin geçitte çarptığı kişi öldü  https://findynews.com/karsta-dogu-ekspresi-treninin-hemzemin-gecitte-carptigi-kisi-oldu/… #Haber #gündem #sondakika #findynews #kars,"Kars'ta Doğu Ekspresi treninin hemzemin geçitte çarptığı kişi öldü
Kars ta, Doğu Ekspresi treninin hemzemin geçitte çarptığı kişi yaşamını yitirdi.
findynews.com",,,1
HD Haberler,@hdhaberler,2021-08-02T07:16:21.000Z,"Göz göre göre çökmüş https://hdhaberler.com/basin/15048/goz-gore-gore-cokmus… 
@ImoGaziantep
 @gokhance
 
#Gaziantep #haber #insaat #cokme #mühendis #lpg #bina #denetim #kontrol","Göz göre göre çökmüş
Çağdaş Mahallesinde dün çöken 5 katlı bina ile ilgili şok gerçekler ortaya çıkmaya devam ediyor.
hdhaberler.com",,,
Ulak News,@ulaknews,2021-08-02T07:16:08.000Z,"Ahmet Hakan: Erdoğan, bu tipleri kendileriyle baş başa bırakıp makul çoğunluğa şunu söylemeli... https://ulak.news/haber_ahmet-hakan-erdogan-bu-tipleri-k_diken_986499.html… --- #sondakika #haber #sondakikahaber #haberler","Ahmet Hakan: Erdoğan, bu tipleri kendileriyle baş başa bırakıp makul çoğunluğa şunu söylemeli
Türkiye’de çok abartılı, çok aşırı, asla iflah olmaz Erdoğan karşıtı bir kesim var. Dikkat! Makul muhaliflikten, akla yatkın eleştirellikten falan söz etmiyorum. Nefretten gözü dönmüş hale gelmekten...
ulak.news",,,
