username,twhandle,postdate,content,responding,reply,retweet,like
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:33.000Z,Manavgat’ta yangında zarar görenlere 27 milyon lira devlet desteği https://haberizlenim.com/manavgatta-yanginda-zarar-gorenlere-27-milyon-lira-devlet-destegi-21261h.htm… #haber #sondakika,"Manavgat’ta yangında zarar görenlere 27 milyon lira devlet desteği
Türkiye’nin en büyük orman yangının yaşandığı Manavgat’ta evleri ve araçları zarar gören vatandaşlara ilk etapta toplam 27 milyon lira devlet desteği verildiği belirtildi.
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:33.000Z,Letonya’da kolluk kuvvetlerine göçmenler için fiziksel güç kullanma yetkisi verildi https://haberizlenim.com/letonyada-kolluk-kuvvetlerine-gocmenler-icin-fiziksel-guc-kullanma-yetkisi-verildi-21260h.htm… #haber #sondakika,"Letonya’da kolluk kuvvetlerine göçmenler için fiziksel güç kullanma yetkisi verildi
Letonya, Belarus üzerinden gelen göçmenlerle ilgili olağanüstü hal ilan ederek, sınırdaki kolluk kuvvetlerine fiziksel güç kullanma yetkisi tanıdı.
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:31.000Z,Kayseri’de Aspir bitkisinin hasadına başlanıyor https://haberizlenim.com/kayseride-aspir-bitkisinin-hasadina-baslaniyor-21259h.htm… #haber #sondakika,"Kayseri’de Aspir bitkisinin hasadına başlanıyor
Türkiye’nin bitkisel yağ açığının kapatılmasına yönelik yürütülen çalışmalar kapsamında ekimi yapılan aspir bitkisinde hasat için geri sayım başladı.
haberizlenim.com",,,,"['haber', 'sondakika']"
BİTARAF Haber,@bitarafiz,2021-08-12T07:37:21.000Z,"Sanayi üretim endeksi, haziranda aylık bazda %2.3, yıllık bazda %23.9 yükseldi.

#sanayi #üretim #sanayiüretim #sondakika #haber #haberler #gündem #bitarafiz",,,,,"['sanayi', 'üretim', 'sanayiüretim', 'sondakika', 'haber', 'haberler', 'gündem', 'bitarafiz']"
Mega Haber,@megahaber27,2021-08-12T07:35:47.000Z,Alleben yüzme havuzunda milli takım hazırlıkları devam ediyor #gaziantep #haber  https://megahaber27.com/alleben-yuzme-havuzunda-milli-takim-hazirliklari-devam-ediyor/121089/…,,,,,"['gaziantep', 'haber']"
Medyaeli,@medyaelicom,2021-08-12T07:35:31.000Z,"Kastamonu'da 5 vatandaşımız hayatını kaybetti
https://medyaeli.com/gundem/kastamonu-da-5-vatandasimiz-hayatini-kaybetti-h2661.html…

#kastamonu #sel #felaket #cankaybı #5vatandaşımız #1kayıp #bartın #gündem #haber",,,,,"['kastamonu', 'sel', 'felaket', 'cankaybı', '5vatandaşımız', '1kayıp', 'bartın', 'gündem', 'haber']"
MORA HABER,@moradergisi,2021-08-12T07:34:53.000Z,Türkiye’nin En Uzun Soluklu Festivali Uluslararası Bursa Festivali Başladı  http://moradergisi.com/haber/turkiyenin_en_uzun_soluklu_festivali_uluslararasi_bursa_festivali_basladi_-207661.html… #bursa #gundem #haber #sondakika,"Türkiye’nin En Uzun Soluklu Festivali Uluslararası Bursa Festivali Başladı
türkiye’nin en uzun soluklu festivali uluslararası bursa festivali başladı
moradergisi.com",,,,"['bursa', 'gundem', 'haber', 'sondakika']"
MORA HABER,@moradergisi,2021-08-12T07:34:33.000Z,"Bakan Akar, Türkiye’nin Kabil’deki niyetini Pakistan’da yineledi http://moradergisi.com/haber/bakan_akar_turkiyenin_kabildeki_niyetini_pakistanda_yineledi-207660.html… #bursa #gundem #haber #sondakika","Bakan Akar, Türkiye’nin Kabil’deki niyetini Pakistan’da yineledi
bakan akar, türkiye’nin kabil’deki niyetini pakistan’da yineledi
moradergisi.com",,,,"['bursa', 'gundem', 'haber', 'sondakika']"
Gazette.com.tr,@GazetteGazete,2021-08-12T07:34:30.000Z,"Tarihi eserler Adanada sergilendi https://gazette.com.tr/Haber/asayis/tarihi-eserler-adanada-sergilendi-76030… 
@AdanaEmniyeti
  #adana #haber #gundem #haberler #tarihieser #Persembe",,,,2,"['adana', 'haber', 'gundem', 'haberler', 'tarihieser', 'Persembe']"
ON6 #YeniNesilTelevizyon,@On6_tv,2021-08-12T07:34:16.000Z,"Bursa’da 10 mağazaya girmeye çalışan hırsızlar güvenlik kamerasına yansıdı
#BURSA #HABER #GÜNDEM","Bursa’da 10 mağazaya girmeye çalışan hırsızlar güvenlik kamerasına yansıdı
bursa’da 10 mağazaya girmeye çalışan hırsızlar güvenlik kamerasına yansıdı
kanal16haber.com",,,,"['BURSA', 'HABER', 'GÜNDEM']"
